Generation,Mean,Std,Min,Max
259,0.3799,0.0579,0.2244,0.5058
260,0.3801,0.0578,0.2212,0.5058
261,0.3802,0.0582,0.234,0.5058
262,0.3802,0.0581,0.234,0.5058
263,0.3802,0.0579,0.2195,0.5058
264,0.3798,0.0579,0.2212,0.5058
265,0.3795,0.0586,0.2103,0.5058
266,0.3805,0.0587,0.2073,0.5058
267,0.3804,0.0585,0.2184,0.5058
268,0.3809,0.0586,0.2177,0.5058
269,0.3805,0.0585,0.2376,0.5058
270,0.3804,0.0587,0.2131,0.5058
271,0.3803,0.059,0.2195,0.5058
272,0.3802,0.0582,0.2251,0.5058
273,0.3797,0.0578,0.2115,0.5058
274,0.3798,0.0579,0.2169,0.5058
275,0.3796,0.0582,0.2264,0.5058
276,0.3796,0.0583,0.2244,0.5058
277,0.38,0.0575,0.234,0.5058
278,0.3798,0.0582,0.2251,0.5058
279,0.3803,0.0582,0.2058,0.5058
280,0.3802,0.0585,0.2321,0.5058
281,0.3811,0.0583,0.2195,0.5058
282,0.3811,0.0583,0.2073,0.5058
283,0.3813,0.0578,0.2264,0.5058
284,0.3807,0.058,0.2169,0.5058
285,0.3805,0.0583,0.2019,0.5058
286,0.3806,0.058,0.2099,0.5058
287,0.3801,0.058,0.2177,0.5058
288,0.3802,0.0578,0.2195,0.5058
289,0.3797,0.0582,0.2058,0.5058
290,0.3795,0.0583,0.2177,0.5058
291,0.3798,0.0583,0.234,0.5058
292,0.3798,0.0583,0.2131,0.5058
293,0.3803,0.0588,0.2195,0.5058
294,0.3804,0.0586,0.2244,0.5058
295,0.3803,0.0585,0.2155,0.5058
296,0.3805,0.0584,0.2264,0.5058
297,0.3808,0.0584,0.1923,0.5058
298,0.3809,0.0586,0.2324,0.5058
299,0.3807,0.0585,0.2244,0.5058
300,0.3809,0.0582,0.2244,0.5058
301,0.3811,0.0578,0.2035,0.5058
302,0.3808,0.0579,0.2264,0.5058
303,0.3808,0.0578,0.2168,0.5058
304,0.3801,0.0583,0.2264,0.5058
305,0.3799,0.0577,0.2251,0.5058
306,0.3799,0.0576,0.2147,0.5058
307,0.3794,0.0575,0.2099,0.5058
308,0.3792,0.0578,0.2264,0.5058
309,0.3794,0.0578,0.2058,0.5058
310,0.3788,0.0581,0.2131,0.5058
311,0.3791,0.0577,0.2177,0.5058
312,0.3792,0.0581,0.2177,0.5058
313,0.3789,0.0577,0.2273,0.5058
314,0.3793,0.0576,0.2131,0.5058
315,0.3792,0.0576,0.2073,0.5058
316,0.3788,0.0575,0.2273,0.5058
317,0.3789,0.0581,0.2195,0.5058
318,0.3789,0.0578,0.2035,0.5058
319,0.3794,0.0581,0.2131,0.5058
320,0.3792,0.0579,0.2035,0.5058
321,0.3789,0.0582,0.2169,0.5058
322,0.3793,0.058,0.2168,0.5058
323,0.379,0.0578,0.2177,0.5058
324,0.3792,0.0573,0.2273,0.5058
325,0.3795,0.0578,0.2195,0.5058
326,0.3793,0.058,0.2376,0.5058
327,0.3795,0.0576,0.2195,0.5058
328,0.3796,0.0581,0.2073,0.5058
329,0.3796,0.0582,0.234,0.5058
330,0.38,0.058,0.2099,0.5058
331,0.3796,0.0581,0.2212,0.5058
332,0.3803,0.0579,0.2395,0.5058
333,0.3806,0.0576,0.2264,0.5058
334,0.3798,0.0579,0.2147,0.5058
335,0.3799,0.0577,0.2264,0.5058
336,0.3797,0.0582,0.222,0.5058
337,0.3802,0.0583,0.2099,0.5058
338,0.3798,0.058,0.206,0.5058
339,0.3793,0.0586,0.1977,0.5058
340,0.3808,0.0584,0.234,0.5058
341,0.3808,0.0589,0.2308,0.5058
342,0.3813,0.0584,0.2177,0.5058
343,0.3809,0.0584,0.2308,0.5058
344,0.3815,0.0584,0.2212,0.5058
345,0.3814,0.0585,0.2131,0.5058
346,0.3814,0.0586,0.2131,0.5058
347,0.3812,0.0585,0.2131,0.5058
348,0.3806,0.0581,0.2244,0.5058
349,0.3805,0.0582,0.2273,0.5058
350,0.3812,0.0582,0.2264,0.5058
351,0.381,0.0584,0.2147,0.5058
352,0.3809,0.0576,0.1977,0.5058
353,0.3809,0.0576,0.2228,0.5058
354,0.3808,0.0578,0.2198,0.5058
355,0.381,0.0585,0.2147,0.5058
356,0.3805,0.0585,0.2212,0.5058
357,0.3811,0.0581,0.2115,0.5058
358,0.3815,0.0581,0.2169,0.5058
359,0.3811,0.0585,0.2155,0.5058
360,0.3812,0.0579,0.2177,0.5058
361,0.381,0.0581,0.2073,0.5058
362,0.3807,0.0584,0.2019,0.5058
363,0.3805,0.0583,0.234,0.5058
364,0.3808,0.0585,0.234,0.5058
365,0.3808,0.0581,0.2212,0.5058
366,0.3807,0.0579,0.2115,0.5058
367,0.3805,0.0578,0.1881,0.5058
368,0.3806,0.058,0.2376,0.5058
369,0.381,0.0583,0.2019,0.5058
370,0.3807,0.0577,0.2316,0.5058
371,0.3801,0.0578,0.2212,0.5058
372,0.3799,0.0579,0.2168,0.5058
373,0.3797,0.0579,0.2264,0.5058
374,0.3789,0.0579,0.2244,0.5058
375,0.3784,0.0578,0.2195,0.5058
376,0.3787,0.0578,0.2341,0.5058
377,0.3789,0.058,0.228,0.5058
378,0.3791,0.058,0.2244,0.5058
379,0.3792,0.0587,0.2177,0.5058
380,0.3798,0.0575,0.1923,0.5058
381,0.3798,0.0575,0.2035,0.5058
382,0.38,0.0577,0.2195,0.5058
383,0.3796,0.0579,0.234,0.5058
384,0.3797,0.0577,0.2308,0.5058
385,0.3797,0.0575,0.2195,0.5058
386,0.3794,0.0577,0.2035,0.5058
387,0.3793,0.0579,0.2264,0.5058
388,0.3788,0.0577,0.2169,0.5058
389,0.3793,0.0578,0.2115,0.5058
390,0.3801,0.0575,0.2291,0.5058
391,0.3797,0.0582,0.2115,0.5058
392,0.3792,0.0583,0.2073,0.5058
393,0.3789,0.0584,0.2131,0.5058
394,0.3791,0.058,0.2264,0.5058
395,0.3796,0.0579,0.2212,0.5058
396,0.38,0.0578,0.2316,0.5058
397,0.3798,0.0577,0.2099,0.5058
398,0.3793,0.0579,0.2195,0.5058
399,0.3796,0.0575,0.228,0.5058
400,0.3797,0.0578,0.2115,0.5058
401,0.3795,0.0583,0.2264,0.5058
