Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
0.2916,0.2998,0.3112,0.3038,0.3194,0.3071,0.198
0.2916,0.2998,0.3112,0.3038,0.3194,0.3071,0.198
0.2916,0.2998,0.3193,0.3071,0.3194,0.3071,0.198
0.2916,0.2998,0.3193,0.3071,0.3194,0.3071,0.198
0.2916,0.2998,0.3193,0.3071,0.3194,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3194,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3194,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3194,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3194,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3194,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3194,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3194,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3194,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3218,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3218,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3218,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3218,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3218,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3218,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3218,0.3071,0.2029
0.2949,0.2998,0.3193,0.3071,0.3218,0.3071,0.2029
0.2949,0.3022,0.3193,0.3071,0.3218,0.3071,0.2029
0.2949,0.303,0.3193,0.3071,0.3218,0.3071,0.2029
0.2949,0.303,0.3193,0.3071,0.3234,0.3071,0.2029
0.2949,0.303,0.3193,0.3071,0.3234,0.3071,0.2029
0.2973,0.3063,0.3193,0.3071,0.3275,0.3071,0.2029
0.2973,0.3063,0.3193,0.3071,0.3291,0.3071,0.2029
0.2973,0.3063,0.3193,0.3071,0.3291,0.3071,0.2029
0.2973,0.3063,0.3193,0.3071,0.3291,0.3071,0.2029
0.2973,0.3063,0.3193,0.3071,0.3291,0.3071,0.2029
0.2973,0.3063,0.3193,0.3071,0.3291,0.3071,0.2029
0.2973,0.3063,0.3193,0.3071,0.3316,0.3071,0.2029
0.2973,0.3063,0.3193,0.3071,0.3316,0.3071,0.2029
0.2973,0.3063,0.3193,0.3071,0.3316,0.3071,0.2029
0.2973,0.3063,0.3193,0.3071,0.3316,0.3071,0.2029
0.2973,0.3063,0.3193,0.3071,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3071,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3071,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3071,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3071,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3088,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3096,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3096,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3096,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3096,0.3316,0.3104,0.2029
0.2973,0.3063,0.3193,0.3096,0.3316,0.3128,0.2029
0.2973,0.3063,0.3226,0.3096,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3096,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3096,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3096,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3096,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3096,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3096,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3096,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3096,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3096,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3104,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3104,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3104,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3104,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3104,0.3316,0.3128,0.2029
0.3014,0.3063,0.3226,0.3104,0.3316,0.3128,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3136,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3152,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3152,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3152,0.2029
0.3014,0.3071,0.3226,0.3104,0.3316,0.3161,0.2029
0.3014,0.3112,0.3226,0.3104,0.3316,0.3161,0.2029
0.3014,0.3112,0.3226,0.3104,0.3316,0.3185,0.2029
0.3014,0.3112,0.3226,0.3104,0.3316,0.3185,0.2029
0.3014,0.3112,0.3226,0.3104,0.3316,0.3185,0.2029
0.3014,0.3112,0.3226,0.3104,0.3316,0.3185,0.2029
0.3014,0.3112,0.3226,0.3104,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3104,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3104,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.3185,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.321,0.2029
0.3022,0.3112,0.3226,0.3112,0.3316,0.321,0.2029
0.3022,0.3112,0.3226,0.312,0.3316,0.321,0.2029
0.3022,0.3112,0.3226,0.312,0.3316,0.3218,0.2029
0.3022,0.3112,0.3226,0.312,0.3324,0.3218,0.2029
0.3022,0.3112,0.3226,0.312,0.3324,0.3218,0.2029
0.3022,0.3112,0.3226,0.312,0.3324,0.3218,0.2029
0.3022,0.3112,0.3226,0.312,0.3324,0.3218,0.2029
0.3022,0.3112,0.3258,0.3136,0.3324,0.3218,0.2029
0.3022,0.3112,0.3258,0.3136,0.3324,0.3218,0.2029
0.3022,0.3112,0.3258,0.3136,0.3324,0.3218,0.2029
0.3022,0.3112,0.3258,0.3136,0.3324,0.3218,0.2029
0.3022,0.3112,0.3258,0.3136,0.3324,0.3218,0.2029
0.3022,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3022,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3112,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3144,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3144,0.3258,0.3136,0.3356,0.3218,0.2029
0.3046,0.3144,0.3258,0.3144,0.3356,0.3218,0.2029
0.3046,0.3144,0.3258,0.3144,0.3356,0.3218,0.2029
0.3046,0.3144,0.3258,0.3144,0.3356,0.3218,0.2029
0.3046,0.3144,0.3258,0.3144,0.3356,0.3258,0.2029
0.3046,0.3144,0.3258,0.3144,0.3356,0.3258,0.2029
0.3046,0.3144,0.3258,0.3144,0.3356,0.3258,0.2029
0.3046,0.3144,0.3258,0.3144,0.3356,0.3258,0.2029
0.3046,0.3144,0.3258,0.3144,0.3356,0.3258,0.2029
0.3046,0.3144,0.3258,0.3144,0.3364,0.3258,0.2029
0.3046,0.3144,0.3258,0.3144,0.3364,0.3258,0.2029
0.3046,0.3144,0.3258,0.3144,0.3364,0.3258,0.2029
0.3046,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3144,0.3258,0.3144,0.3422,0.3258,0.2029
0.3079,0.3185,0.3258,0.3144,0.3422,0.3258,0.2029
