Generation,Best,Mean,Std,Min,Max
252,0.2029,0.135,0.0144,0.0799,0.2029
253,0.2029,0.1349,0.0143,0.0774,0.2029
254,0.2029,0.1351,0.0142,0.0774,0.2029
255,0.2029,0.1353,0.0143,0.0725,0.2029
256,0.2029,0.1348,0.0142,0.0807,0.2029
257,0.2029,0.1351,0.0142,0.0733,0.2029
258,0.2029,0.1351,0.0143,0.0733,0.2029
259,0.2029,0.1349,0.0142,0.0807,0.2029
260,0.2029,0.1353,0.0142,0.0774,0.2029
261,0.2029,0.1349,0.0142,0.0766,0.2029
262,0.2029,0.1351,0.0143,0.0815,0.2029
263,0.2029,0.1351,0.0143,0.0733,0.2029
264,0.2029,0.135,0.0143,0.0701,0.2029
265,0.2029,0.135,0.0142,0.0668,0.2029
266,0.2029,0.1349,0.0142,0.0831,0.2029
267,0.2029,0.135,0.0143,0.0595,0.2029
268,0.2029,0.135,0.0141,0.0766,0.2029
269,0.2029,0.1349,0.0142,0.0791,0.2029
270,0.2029,0.1351,0.0143,0.0782,0.2029
271,0.2029,0.1348,0.0143,0.0807,0.2029
272,0.2029,0.1349,0.0142,0.0766,0.2029
273,0.2029,0.1349,0.0142,0.0799,0.2029
274,0.2029,0.1348,0.0143,0.0766,0.2029
275,0.2029,0.1348,0.0142,0.0807,0.2029
276,0.2029,0.135,0.0144,0.0807,0.2029
277,0.2029,0.1347,0.0142,0.0733,0.2029
278,0.2029,0.1347,0.0142,0.0774,0.2029
279,0.2029,0.1349,0.0143,0.0766,0.2029
280,0.2029,0.1351,0.0142,0.0766,0.2029
281,0.2029,0.1348,0.0143,0.0807,0.2029
282,0.2029,0.1351,0.0141,0.0807,0.2029
283,0.2029,0.1348,0.0143,0.0807,0.2029
284,0.2029,0.1351,0.0143,0.0807,0.2029
285,0.2029,0.1349,0.0142,0.0725,0.2029
286,0.2029,0.1349,0.0143,0.0799,0.2029
287,0.2029,0.135,0.0143,0.0774,0.2029
288,0.2029,0.135,0.0144,0.0741,0.2029
289,0.2029,0.1351,0.0142,0.0823,0.2029
290,0.2029,0.135,0.0143,0.0733,0.2029
291,0.2029,0.1349,0.0143,0.0774,0.2029
292,0.2029,0.1348,0.0144,0.0709,0.2029
293,0.2029,0.1348,0.0143,0.0799,0.2029
294,0.2029,0.1349,0.0142,0.0701,0.2029
295,0.2029,0.1351,0.0142,0.0799,0.2029
296,0.2029,0.1348,0.0143,0.0766,0.2029
297,0.2029,0.1349,0.0143,0.0807,0.2029
298,0.2029,0.1348,0.0143,0.0774,0.2029
299,0.2029,0.1349,0.0142,0.0733,0.2029
300,0.2029,0.135,0.0143,0.0725,0.2029
301,0.2029,0.1351,0.0142,0.0733,0.2029
302,0.2029,0.1349,0.0142,0.0766,0.2029
303,0.2029,0.1349,0.0143,0.0733,0.2029
304,0.2029,0.135,0.0141,0.0733,0.2029
305,0.2029,0.1351,0.0144,0.0619,0.2029
306,0.2029,0.1348,0.0142,0.0807,0.2029
307,0.2029,0.1346,0.0143,0.0774,0.2029
308,0.2029,0.1349,0.0142,0.0774,0.2029
309,0.2029,0.1349,0.0144,0.0774,0.2029
310,0.2029,0.135,0.0142,0.0799,0.2029
311,0.2029,0.135,0.0144,0.0701,0.2029
312,0.2029,0.135,0.0143,0.0782,0.2029
313,0.2029,0.1347,0.0142,0.0733,0.2029
314,0.2029,0.1349,0.0143,0.0701,0.2029
315,0.2029,0.1352,0.0142,0.0733,0.2029
316,0.2029,0.135,0.0142,0.0807,0.2029
317,0.2029,0.1349,0.0142,0.0774,0.2029
318,0.2029,0.1349,0.0144,0.0774,0.2029
319,0.2029,0.1351,0.0142,0.0799,0.2029
320,0.2029,0.1349,0.0144,0.0733,0.2029
321,0.2029,0.1351,0.0142,0.0799,0.2029
322,0.2029,0.1348,0.0143,0.0815,0.2029
323,0.2029,0.1351,0.0142,0.0807,0.2029
324,0.2029,0.135,0.0143,0.0774,0.2029
325,0.2029,0.135,0.0142,0.0782,0.2029
326,0.2029,0.1349,0.0143,0.0766,0.2029
327,0.2029,0.1351,0.0142,0.0774,0.2029
328,0.2029,0.1349,0.0143,0.0799,0.2029
329,0.2029,0.135,0.0142,0.0766,0.2029
330,0.2029,0.135,0.0143,0.0774,0.2029
331,0.2029,0.1352,0.0142,0.0774,0.2029
332,0.2029,0.1349,0.0143,0.0839,0.2029
333,0.2029,0.135,0.0142,0.0847,0.2029
334,0.2029,0.135,0.0142,0.0774,0.2029
335,0.2029,0.135,0.0144,0.0717,0.2029
336,0.2029,0.1351,0.0142,0.0774,0.2029
337,0.2029,0.1351,0.0142,0.0733,0.2029
338,0.2029,0.135,0.0142,0.0774,0.2029
339,0.2029,0.1351,0.0142,0.0815,0.2029
340,0.2029,0.135,0.0142,0.0766,0.2029
341,0.2029,0.135,0.0143,0.0807,0.2029
342,0.2029,0.135,0.0142,0.0766,0.2029
343,0.2029,0.1349,0.0143,0.0815,0.2029
344,0.2029,0.135,0.0142,0.0766,0.2029
345,0.2029,0.135,0.0143,0.0766,0.2029
346,0.2029,0.135,0.0141,0.0815,0.2029
347,0.2029,0.1348,0.0144,0.0823,0.2029
348,0.2029,0.1351,0.0142,0.0799,0.2029
349,0.2029,0.1349,0.0142,0.0774,0.2029
350,0.2029,0.1349,0.0143,0.0733,0.2029
351,0.2029,0.1348,0.0143,0.0774,0.2029
352,0.2029,0.1351,0.0142,0.0774,0.2029
353,0.2029,0.135,0.0142,0.0791,0.2029
