Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
0.0043,0.0088,0.0088,0.0098,0.0121,0.0101,-0.0295
0.0043,0.0088,0.0088,0.0098,0.0121,0.0101,-0.0295
0.0043,0.0088,0.0088,0.0098,0.0121,0.0101,-0.0295
0.0043,0.0088,0.0088,0.0098,0.0121,0.0101,-0.0295
0.0043,0.0092,0.0088,0.0098,0.0121,0.0101,-0.0295
0.0046,0.0092,0.0088,0.0098,0.0121,0.0101,-0.0295
0.0049,0.0092,0.0088,0.0098,0.0124,0.0101,-0.0295
0.0049,0.0092,0.0088,0.0098,0.0124,0.0101,-0.0295
0.0049,0.0092,0.0088,0.0098,0.0124,0.0101,-0.0295
0.0049,0.0092,0.0088,0.0098,0.0124,0.0101,-0.0295
0.0049,0.0092,0.0088,0.0098,0.0124,0.0101,-0.0295
0.0052,0.0092,0.0088,0.0098,0.0124,0.0101,-0.0295
0.0056,0.0092,0.0088,0.0098,0.0124,0.0101,-0.0295
0.0056,0.0092,0.0088,0.0098,0.0124,0.0101,-0.0295
0.0059,0.0092,0.0088,0.0098,0.0124,0.0101,-0.0295
0.0059,0.0092,0.0088,0.0098,0.0124,0.0101,-0.0295
0.0059,0.0092,0.0088,0.0098,0.0124,0.0101,-0.0295
0.0059,0.0092,0.0092,0.0098,0.0124,0.0101,-0.0295
0.0059,0.0095,0.0095,0.0098,0.0124,0.0101,-0.0295
0.0059,0.0095,0.0095,0.0098,0.0124,0.0101,-0.0295
0.0059,0.0095,0.0095,0.0098,0.0124,0.0101,-0.0295
0.0059,0.0095,0.0095,0.0098,0.0124,0.0101,-0.0295
0.0059,0.0095,0.0095,0.0098,0.0124,0.0101,-0.0295
0.0059,0.0095,0.0095,0.0098,0.0124,0.0101,-0.0295
0.0065,0.0095,0.0095,0.0098,0.0124,0.0101,-0.0295
0.0065,0.0095,0.0098,0.0098,0.0124,0.0101,-0.0295
0.0065,0.0095,0.0098,0.0098,0.0124,0.0101,-0.0295
0.0072,0.0095,0.0098,0.0098,0.0124,0.0101,-0.0295
0.0072,0.0095,0.0098,0.0098,0.0124,0.0101,-0.0295
0.0072,0.0095,0.0098,0.0098,0.0124,0.0101,-0.0295
0.0072,0.0095,0.0098,0.0098,0.0124,0.0101,-0.0295
0.0072,0.0095,0.0101,0.0098,0.0124,0.0101,-0.0295
0.0072,0.0095,0.0101,0.0101,0.0124,0.0101,-0.0295
0.0072,0.0095,0.0115,0.0101,0.0124,0.0101,-0.0295
0.0082,0.0095,0.0115,0.0101,0.0124,0.0101,-0.0295
0.0082,0.0095,0.0115,0.0101,0.0124,0.0101,-0.0295
0.0082,0.0095,0.0115,0.0101,0.0124,0.0101,-0.0295
0.0082,0.0095,0.0115,0.0101,0.0124,0.0101,-0.0295
0.0082,0.0095,0.0115,0.0101,0.0124,0.0101,-0.0295
0.0085,0.0095,0.0115,0.0101,0.0124,0.0101,-0.0295
0.0085,0.0095,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0085,0.0101,0.0115,0.0101,0.0124,0.0105,-0.0295
0.0088,0.0101,0.0118,0.0101,0.0124,0.0105,-0.0295
0.0088,0.0101,0.0118,0.0101,0.0124,0.0105,-0.0295
0.0088,0.0101,0.0118,0.0101,0.0124,0.0105,-0.0295
0.0088,0.0101,0.0118,0.0101,0.0124,0.0105,-0.0295
0.0088,0.0101,0.0118,0.0101,0.0124,0.0105,-0.0295
0.0088,0.0101,0.0118,0.0105,0.0124,0.0105,-0.0295
0.0088,0.0101,0.0118,0.0105,0.0131,0.0105,-0.0295
0.0088,0.0101,0.0118,0.0105,0.0137,0.0105,-0.0295
0.0092,0.0101,0.0118,0.0105,0.0137,0.0105,-0.0295
0.0092,0.0101,0.0118,0.0105,0.0137,0.0105,-0.0295
0.0092,0.0101,0.0118,0.0105,0.0137,0.0105,-0.0295
0.0092,0.0101,0.0118,0.0105,0.0137,0.0105,-0.0295
0.0092,0.0101,0.0118,0.0105,0.0137,0.0105,-0.0295
0.0092,0.0105,0.0118,0.0105,0.0137,0.0105,-0.0295
0.0092,0.0105,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0105,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0092,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0095,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0095,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0095,0.0108,0.0121,0.0108,0.0137,0.0105,-0.0295
0.0095,0.0108,0.0121,0.0108,0.0141,0.0105,-0.0295
0.0095,0.0108,0.0121,0.0108,0.0141,0.0111,-0.0295
0.0095,0.0108,0.0121,0.0108,0.0141,0.0111,-0.0295
0.0095,0.0108,0.0121,0.0108,0.0141,0.0111,-0.0295
0.0095,0.0108,0.0121,0.0108,0.0141,0.0111,-0.0295
0.0095,0.0108,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0095,0.0108,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0095,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0095,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0095,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0095,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0095,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0095,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0095,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0111,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0121,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0108,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0118,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0144,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0147,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0151,0.0111,-0.0295
0.0098,0.0124,0.0124,0.0111,0.0151,0.0111,-0.0295
0.0101,0.0124,0.0124,0.0111,0.0151,0.0111,-0.0295
0.0101,0.0124,0.0124,0.0111,0.0151,0.0111,-0.0295
0.0101,0.0124,0.0124,0.0111,0.0151,0.0111,-0.0295
0.0101,0.0124,0.0124,0.0111,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0124,0.0111,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0124,0.0111,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0124,0.0111,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0124,0.0111,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0124,0.0111,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0111,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0111,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0111,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0111,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0124,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0115,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0101,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0108,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0108,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0108,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0108,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0108,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0108,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0108,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0108,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0108,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
0.0108,0.0141,0.0134,0.0115,0.0151,0.0121,-0.0295
